size;malloc;calloc;realloc
30100001;2;2420;0
30200001;4;2387;0
30300001;1;2457;0
30400001;6;2626;0
30500001;1;2900;0
30600001;5;3046;0
30700001;2;2998;0
30800001;5;2979;0
30900001;1;3640;0
31000001;6;3150;0
31100001;1;2771;0
31200001;4;2162;0
31300001;1;2164;0
31400001;5;3340;0
31500001;1;2346;0
31600001;4;2446;0
31700001;1;2387;0
31800001;8;2345;0
31900001;1;2413;0
32000001;4;2719;0
32100001;1;2458;0
32200001;5;2348;0
32300001;1;2272;0
32400001;5;2238;0
32500001;1;2349;0
32600001;5;2361;0
32700001;1;2430;0
32800001;5;2270;0
32900001;1;2294;0
33000001;5;2306;0
33100001;2;2472;0
33200001;5;2351;0
33300001;1;2446;0
33400001;5;2338;0
33500001;1;2472;0
33600001;10;5;11626
33700001;5;3;9761
33800001;4;3;9038
33900001;4;3;10200
34000001;7;4;9459
34100001;4;3;9148
34200001;4;3;10298
34300001;4;3;9145
34400001;4;3;9225
34500001;5;3;10369
34600001;5;3;10055
34700001;4;3;9735
34800001;4;3;9349
34900001;4;3;9246
35000001;4;3;10229
35100001;5;3;9276
35200001;4;3;9378
35300001;4;3;10420
35400001;4;3;9553
35500001;4;3;9852
35600001;8;6;12713
35700001;4;3;9997
35800001;4;3;9312
35900001;4;3;9143
36000001;4;3;9470
36100001;4;3;9625
36200001;4;3;9585
36300001;5;3;10563
36400001;8;3;9818
36500001;4;3;9938
36600001;4;3;9974
36700001;5;16;10201
36800001;6;4;12327
36900001;4;3;10343
37000001;4;3;9997
37100001;4;3;11050
37200001;8;5;12240
37300001;5;3;10396
37400001;4;3;11246
37500001;4;3;9961
37600001;4;3;10917
37700001;9;8;11673
37800001;6;5;10448
37900001;5;4;9984
38000001;4;3;10857
38100001;4;3;10397
38200001;11;3;10179
38300001;4;3;10796
38400001;8;5;12109
38500001;8;5;11478
38600001;4;3;11345
38700001;4;3;10365
38800001;4;3;10357
38900001;4;3;10359
39000001;4;3;10152
39100001;4;5;11098
39200001;4;3;12114
39300001;6;3;10810
39400001;4;3;10754
39500001;9;3;10317
39600001;4;4;10570
39700001;8;6;11297
39800001;7;6;10860
39900001;4;3;10740
40000001;6;4;10613
40100001;4;3;10765
40200001;4;3;12579
40300001;7;4;12343
40400001;4;3;11464
40500001;4;3;11391
40600001;5;3;11997
40700001;4;3;13511
40800001;7;4;12767
40900001;4;3;12314
41000001;4;3;12051
41100001;5;4;11892
41200001;8;6;14046
41300001;6;4;11728
41400001;4;3;10913
41500001;4;3;12958
41600001;7;5;12252
41700001;5;3;15399
41800001;9;6;18010
41900001;7;6;12419
42000001;6;3;11976
42100001;5;4;13895
42200001;4;3;11312
42300001;4;6;12019
42400001;7;6;19532
42500001;7;5;15112
42600001;4;3;12607
42700001;5;3;13144
42800001;4;3;13079
42900001;7;5;11856
43000001;4;3;13869
43100001;6;3;13702
43200001;7;5;17911
43300001;4;3;12703
43400001;6;3;17537
43500001;5;3;12812
43600001;5;4;15723
43700001;8;6;14686
43800001;5;3;13831
43900001;5;3;12397
44000001;7;6;11810
44100001;4;3;12098
44200001;4;3;12422
44300001;5;3;13387
44400001;5;4;17293
44500001;6;4;14508
44600001;6;4;12981
44700001;4;3;12455
44800001;5;3;12881
44900001;4;3;12080
45000001;4;3;12350
45100001;7;5;12047
45200001;5;6;11866
45300001;7;4;15443
45400001;6;4;12984
45500001;4;3;14997
45600001;4;3;12813
45700001;4;3;12637
45800001;6;3;14879
45900001;5;3;13057
